origin,destination,window_days,price_low_usd,price_high_usd,typical_airlines,cited_websites,brands,notes
LGA,WAW,45,600,1200,"LOT Polish Airlines, American Airlines, Delta Air Lines, Lufthansa, United Airlines",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,HND,45,800,1500,"American Airlines, Japan Airlines, All Nippon Airways, Delta Air Lines","expedia.com, kayak.com, google.com/flights","American, Delta","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,HND,45,800,1500,"American Airlines, Delta Air Lines, United Airlines, ANA, Japan Airlines","kayak.com, google.com/flights, expedia.com","American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,CLT,45,100,300,"American Airlines, Delta, JetBlue",,"American, Delta, JetBlue","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,CUN,45,250,600,"United Airlines, JetBlue, American Airlines, Spirit Airlines",,"American, JetBlue, Spirit, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,HAM,45,600,1200,"Lufthansa, United Airlines, British Airways, Delta Air Lines",,"British Airways, Delta, United","Prices can vary based on demand, time of booking, and seasonality."
JFK,FRA,45,500,1200,"Lufthansa, United Airlines, Delta Air Lines, British Airways, Air France",,"British Airways, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,LAS,45,150,400,"Delta, American Airlines, JetBlue, Southwest",,"American, Delta, JetBlue, Southwest","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,ORD,45,80,250,"United Airlines, American Airlines, Southwest Airlines, JetBlue Airways","expedia.com, kayak.com, google.com/flights","American, JetBlue, Southwest, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,SEA,45,150,400,"Delta, Alaska Airlines, American Airlines, JetBlue",,"Alaska, American, Delta, JetBlue","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,BHX,45,600,1200,"British Airways, American Airlines, United Airlines, Delta Air Lines",,"American, British Airways, Delta, United","Prices can vary based on demand, time of booking, and seasonal trends."
EWR,CLT,45,100,250,"American Airlines, United Airlines, Southwest Airlines",,"American, Southwest, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,CDG,45,450,900,"United Airlines, Air France, Delta Air Lines, American Airlines",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,PDX,45,150,400,"United Airlines, Alaska Airlines, Delta Air Lines, American Airlines",,"Alaska, American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,SJO,45,300,600,"JetBlue, American Airlines, United Airlines, Delta","google.com/flights, kayak.com, skyscanner.com","American, Delta, JetBlue, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,SYD,45,1200,2000,"Qantas, American Airlines, United Airlines, Delta Air Lines, Air New Zealand","expedia.com, kayak.com, google.com/flights","American, Delta, United","Prices can vary based on demand, time of booking, and flight availability."
LGA,MAN,45,600,1200,"British Airways, American Airlines, Delta, United",,"American, British Airways, Delta, United","Prices can vary based on demand, time of booking, and seasonality."
JFK,CUR,45,350,600,"JetBlue, American Airlines, Delta, United",,"American, Delta, JetBlue, United","Prices can vary based on demand, time of booking, and seasonal factors."
JFK,DCA,45,100,250,"American Airlines, Delta Air Lines, JetBlue Airways",,"American, Delta, JetBlue","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,LIM,45,400,800,"American Airlines, Delta Air Lines, United Airlines, LATAM Airlines",,"American, Delta, United","Prices can vary based on demand, time of booking, and flight availability."
